object_id,has_person,person_percent,has_building,building_percent,has_tree,tree_percent,has_mountain,mountain_percent,has_grass,grass_percent,has_water,water_percent,has_rock,rock_percent,has_house,house_percent,has_road,road_percent,has_sidewalk,sidewalk_percent,has_fence,fence_percent,has_sea,sea_percent,has_animal,animal_percent,has_column,column_percent,has_boat,boat_percent,has_river,river_percent,has_plant,plant_percent,has_curtain,curtain_percent,has_windowpane,windowpane_percent,has_chair,chair_percent,has_field,field_percent,has_table,table_percent,has_hovel,hovel_percent,has_tent,tent_percent,has_bridge,bridge_percent,has_bench,bench_percent,has_pier,pier_percent,artist_name,origin,creation_year,work_type,works_in_museum
264729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy H. O'Sullivan,"American, born Ireland",1871,Photograph,56
264730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy H. O'Sullivan,"American, born Ireland",1871,Photograph,56
264731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy H. O'Sullivan,"American, born Ireland",1871,Photograph,56
264732,,,,,,,,,,,,,,,1.0,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy H. O'Sullivan,"American, born Ireland",1871,Photograph,56
264733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy H. O'Sullivan,"American, born Ireland",1871,Photograph,56
264735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timothy H. O'Sullivan,"American, born Ireland",1871,Photograph,56
264743,1.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uchida Kuichi,Japanese,1873,Photograph,1
264863,,,1.0,67.5,,,,,,,,,,,,,1.0,9.57,1.0,13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Marville,French,1866,Photograph,21
264880,1.0,30.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Gardner,"American, Scottish",1864,Photograph,48
264897,,,1.0,0.76,,,1.0,3.07,,,,,,,,,,,,,,,1.0,32.39,,,,,1.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,Carleton E. Watkins,American,1863,Photograph,247
264898,,,,,1.0,15.99,1.0,13.08,,,1.0,13.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carleton E. Watkins,American,1867,Photograph,247
264903,,,,,1.0,5.8,1.0,47.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carleton E. Watkins,American,1874,Photograph,247
264906,,,,,1.0,3.87,1.0,52.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carleton E. Watkins,American,1874,Photograph,247
264939,,,,,1.0,1.51,1.0,25.93,,,1.0,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carleton E. Watkins,American,1874,Photograph,247
